;codgeo;libgeo;date_arrete;nb_vp_rechargeables_el;nb_vp_rechargeables_gaz;nb_vp
301441;21504;PRÂLON;2023-03-31;1;0;119
301445;21505;PRÉCY-SOUS-THIL;2023-03-31;3;0;763
301447;21506;PREMEAUX-PRISSEY;2023-03-31;8;0;468
301451;21507;PREMIÈRES;2023-03-31;0;0;6
301455;21508;PRENOIS;2022-12-31;16;0;509
301459;21510;PRUSLY-SUR-OURCE;2023-03-31;0;0;170
301462;21511;PUITS;2022-03-31;1;0;182
301464;21512;PULIGNY-MONTRACHET;2022-09-30;17;0;474
301466;21514;QUEMIGNY-SUR-SEINE;2021-12-31;5;0;126
301472;21515;QUETIGNY;2022-12-31;110;0;8919
301480;21518;QUINCY-LE-VICOMTE;2022-06-30;2;0;225
301484;21519;RECEY-SUR-OURCE;2023-03-31;0;0;345
301488;21520;REMILLY-EN-MONTAGNE;2022-12-31;3;0;169
301491;21521;REMILLY-SUR-TILLE;2022-09-30;18;0;985
301496;21522;RENÈVE;2022-12-31;1;0;446
301500;21523;REULLE-VERGY;2022-12-31;2;0;158
301504;21524;RIEL-LES-EAUX;2023-03-31;1;0;101
301508;21525;LA ROCHE-EN-BRENIL;2023-03-31;5;0;1237
301515;21527;LA ROCHEPOT;2022-12-31;3;0;355
301518;21528;LA ROCHE-VANNEAU;2021-12-31;0;0;160
301521;21529;ROILLY;2022-12-31;1;0;72
301525;21530;ROUGEMONT;2023-03-31;2;0;202
301531;21532;ROUVRES-EN-PLAINE;2022-12-31;23;0;1149
301533;21533;ROUVRES-SOUS-MEILLY;2022-12-31;1;0;113
301534;21534;RUFFEY-LÈS-BEAUNE;2021-09-30;9;0;789
301535;21535;RUFFEY-LÈS-ECHIREY;2021-06-30;11;0;1390
301540;21536;SACQUENAY;2022-09-30;3;0;354
301543;21537;SAFFRES;2021-06-30;1;0;145
301545;21538;SAINT-ANDEUX;2021-12-31;0;0;173
301548;21539;SAINT-ANTHOT;2022-09-30;0;0;85
301550;21540;SAINT-APOLLINAIRE;2023-03-31;193;0;7707
301564;21543;SAINT-BROING-LES-MOINES;2023-03-31;0;0;219
301568;21544;SAINTE-COLOMBE-EN-AUXOIS;2022-12-31;0;0;72
301572;21545;SAINTE-COLOMBE-SUR-SEINE;2023-03-31;7;0;935
301578;21547;SAINT-EUPHRÔNE;2022-09-30;1;0;267
301583;21548;SAINT-GERMAIN-DE-MODÉON;2023-03-31;1;0;208
301585;21549;SAINT-GERMAIN-LE-ROCHEUX;2021-06-30;0;0;101
301591;21550;SAINT-GERMAIN-LÈS-SENAILLY;2023-03-31;1;0;130
301595;21552;SAINT-HÉLIER;2022-09-30;0;0;45
301596;21553;SAINT-JEAN-DE-BOEUF;2021-06-30;0;0;142
301598;21554;SAINT-JEAN-DE-LOSNE;2022-03-31;1;0;1092
301602;21556;SAINT-LÉGER-TRIEY;2022-12-31;3;0;257
301603;21557;SAINT-MARC-SUR-SEINE;2022-06-30;1;0;150
301606;21558;SAINTE-MARIE-LA-BLANCHE;2022-06-30;12;0;961
301609;21559;SAINTE-MARIE-SUR-OUCHE;2022-12-31;27;0;830
301613;21560;SAINT-MARTIN-DE-LA-MER;2023-03-31;6;0;332
301618;21561;SAINT-MARTIN-DU-MONT;2023-03-31;6;0;544
301624;21562;SAINT-MAURICE-SUR-VINGEANNE;2022-09-30;4;0;280
301627;21563;SAINT-MESMIN;2022-12-31;4;0;145
301629;21564;SAINT-NICOLAS-LÈS-CÎTEAUX;2023-03-31;3;0;504
301631;21565;SAINT-PHILIBERT;2021-12-31;8;0;541
301633;21566;SAINT-PIERRE-EN-VAUX;2023-03-31;2;0;140
301635;21567;SAINT-PRIX-LÈS-ARNAY;2021-12-31;4;0;352
301645;21569;SAINT-ROMAIN;2022-09-30;10;0;252
301646;21570;SAINTE-SABINE;2022-12-31;2;0;196
301653;21572;SAINT-SEINE-EN-BÂCHE;2023-03-31;5;0;421
301655;21573;SAINT-SEINE-L'ABBAYE;2021-03-31;5;0;393
301659;21574;SAINT-SEINE-SUR-VINGEANNE;2023-03-31;4;0;470
301661;21575;SAINT-SYMPHORIEN-SUR-SAÔNE;2022-12-31;1;0;437
301663;21576;SAINT-THIBAULT;2022-09-30;0;0;209
301666;21577;SAINT-USAGE;2022-06-30;7;0;1397
301670;21578;SAINT-VICTOR-SUR-OUCHE;2022-12-31;8;0;319
301673;21579;SALIVES;2022-09-30;14;0;356
301675;21581;SAMEREY;2023-03-31;3;0;177
301679;21582;SANTENAY;2022-12-31;16;0;873
301680;21583;SANTOSSE;2021-09-30;1;0;63
301683;21584;SAULIEU;2023-03-31;18;0;2507
301685;21585;SAULON-LA-CHAPELLE;2021-06-30;10;0;1179
301690;21586;SAULON-LA-RUE;2022-12-31;10;0;700
301695;21587;SAULX-LE-DUC;2022-12-31;5;0;329
301699;21588;SAUSSEY;2022-06-30;0;0;122
301707;21589;SAUSSY;2022-12-31;0;0;124
301709;21590;SAVIGNY-LÈS-BEAUNE;2023-03-31;37;0;1486
301711;21591;SAVIGNY-LE-SEC;2021-12-31;11;0;922
301715;21593;SAVILLY;2022-12-31;0;0;107
301718;21594;SAVOISY;2021-12-31;0;0;246
301723;21595;SAVOLLES;2023-03-31;1;0;192
301727;21596;SAVOUGES;2022-12-31;6;0;416
301728;21597;SEGROIS;2022-12-31;2;0;75
301730;21598;SEIGNY;2023-03-31;0;0;191
301733;21599;SELONGEY;2022-06-30;20;0;2820
301737;21600;SEMAREY;2022-12-31;0;0;146
301739;21601;SEMEZANGES;2022-12-31;0;0;134
301742;21602;SEMOND;2023-03-31;0;0;36
301745;21603;SEMUR-EN-AUXOIS;2023-03-31;65;0;4046
301750;21604;SENAILLY;2023-03-31;1;0;159
301753;21605;SENNECEY-LÈS-DIJON;2023-03-31;33;0;2386
301755;21606;LADOIX-SERRIGNY;2022-12-31;61;0;1979
301760;21607;SEURRE;2022-12-31;19;0;2427
