id_commune;Commune;Code departement
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
688;NICE;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
612;BEAUSOLEIL;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
612;BEAUSOLEIL;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
6162;LA BRIGUE;6
6132;SAORGE;6
612;BEAUSOLEIL;6
612;BEAUSOLEIL;6
6163;TENDE;6
612;BEAUSOLEIL;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6136;SOSPEL;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
6163;TENDE;6
6163;TENDE;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
612;BEAUSOLEIL;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
635;CASTELLAR;6
683;MENTON;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
636;CASTILLON;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
667;GORBIO;6
612;BEAUSOLEIL;6
6132;SAORGE;6
6104;ROQUEBRUNE CAP MARTIN;6
686;MOULINET;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6132;SAORGE;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
635;CASTELLAR;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
683;MENTON;6
612;BEAUSOLEIL;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6163;TENDE;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
6136;SOSPEL;6
683;MENTON;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
623;BREIL-SUR-ROYA;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
612;BEAUSOLEIL;6
683;MENTON;6
667;GORBIO;6
683;MENTON;6
612;BEAUSOLEIL;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
612;BEAUSOLEIL;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
612;BEAUSOLEIL;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
683;MENTON;6
6104;ROQUEBRUNE CAP MARTIN;6
